Order Date;Customer Name;City;Product Name;Unit Price;Quantity;Discount (%);Subtotal;Discount Amount;Total Sales;Shipping Fee;Grand Total;Payment Method;Order Status;Platform;Customer Rating;Size;Material;Gender
02/03/2025 16:10;Arif Fauziah;Padang;Celana Chino;394.000;2;0;788.000;0;788.000;27.000;2.000.000;Kartu Kredit;Completed;Toko Fashion App;1;M;Katun Twill;Pria
07/07/2025 17:08;Putri Kurniawan;Samarinda;Celana Jeans;250.000;2;10;500.000;50.000;450.000;27.000;1.254.600;Kartu Kredit;Completed;Toko Fashion App;2;XL;Stretch Denim;Pria
07/07/2025 17:08;Putri Kurniawan;Samarinda;Celana Chino;315.000;1;10;315.000;31.500;283.500;27.000;1.254.600;Kartu Kredit;Completed;Toko Fashion App;2;XL;Twill;Pria
07/07/2025 17:08;Putri Kurniawan;Samarinda;Dress Casual;428.000;1;10;428.000;42.800;385.200;27.000;1.254.600;Kartu Kredit;Completed;Toko Fashion App;2;XXL;Katun;Wanita
07/07/2025 17:08;Putri Kurniawan;Samarinda;Kaos Pendek;121.000;1;10;121.000;12.100;108.900;27.000;1.254.600;Kartu Kredit;Completed;Toko Fashion App;2;M;Katun;Pria
22/09/2025 16:44;Fitri Iskandar;Semarang;Gamis;638.000;1;0;638.000;0;638.000;24.000;1.531.000;COD;Completed;FashionHub;4;XXL;Satin;Wanita
22/09/2025 16:44;Fitri Iskandar;Semarang;Kaos Pendek;145.000;1;0;145.000;0;145.000;24.000;1.531.000;COD;Completed;FashionHub;4;L;Cotton Combed;Pria
22/09/2025 16:44;Fitri Iskandar;Semarang;Dress Casual;362.000;2;0;724.000;0;724.000;24.000;1.531.000;COD;Completed;FashionHub;4;XL;Rayon;Wanita
15/03/2025 16:09;Yoga Nugroho;Mataram;Hijab;71.000;4;0;284.000;0;284.000;22.000;1.022.000;COD;Completed;FashionKita;1;L;Ceruty;Wanita
15/03/2025 16:09;Yoga Nugroho;Mataram;Celana Pendek;179.000;4;0;716.000;0;716.000;22.000;1.022.000;COD;Completed;FashionKita;1;M;Jersey;Pria
01/11/2025 16:40;Yani Ananda;Banda Aceh;Kemeja Casual;284.000;1;0;284.000;0;284.000;20.000;970.000;COD;Returned;Toko Fashion App;3;S;Chambray;Pria
01/11/2025 16:40;Yani Ananda;Banda Aceh;Celana Chino;232.000;2;0;464.000;0;464.000;20.000;970.000;COD;Returned;Toko Fashion App;3;M;Katun;Pria
01/11/2025 16:40;Yani Ananda;Banda Aceh;Kaos Pendek;101.000;2;0;202.000;0;202.000;20.000;970.000;COD;Returned;Toko Fashion App;3;S;Cotton Combed;Pria
14/10/2025 13:26;Fitri Halim;Makassar;Kaos Panjang;174.000;1;0;174.000;0;174.000;27.000;1.521.000;COD;Completed;FashionKita;1;L;Jersey;Pria
14/10/2025 13:26;Fitri Halim;Makassar;Hoodie;233.000;2;0;466.000;0;466.000;27.000;1.521.000;COD;Completed;FashionKita;1;L;Polyester;Pria
14/10/2025 13:26;Fitri Halim;Makassar;Celana Pendek;150.000;4;0;600.000;0;600.000;27.000;1.521.000;COD;Completed;FashionKita;1;XL;Jersey;Pria
14/10/2025 13:26;Fitri Halim;Makassar;Sweater;254.000;1;0;254.000;0;254.000;27.000;1.521.000;COD;Completed;FashionKita;1;M;Knitted;Pria
07/04/2025 10:40;Galih Budiman;Jayapura;Jaket Bomber;267.000;1;0;267.000;0;267.000;24.000;1.327.000;COD;Completed;OutfitNow;1;L;Nylon;Pria
07/04/2025 10:40;Galih Budiman;Jayapura;Kaos Pendek;135.000;2;0;270.000;0;270.000;24.000;1.327.000;COD;Completed;OutfitNow;1;M;Jersey;Pria
07/04/2025 10:40;Galih Budiman;Jayapura;Sweater;383.000;2;0;766.000;0;766.000;24.000;1.327.000;COD;Completed;OutfitNow;1;XXL;Knitted;Pria
15/11/2025 12:53;Putri Puspita;Palu;Kaos Pendek;120.000;2;0;240.000;0;240.000;17.000;773.000;e-Wallet;Completed;Toko Fashion App;4;L;Jersey;Pria
15/11/2025 12:53;Putri Puspita;Palu;Celana Pendek;129.000;4;0;516.000;0;516.000;17.000;773.000;e-Wallet;Completed;Toko Fashion App;4;XL;Polyester;Pria
23/07/2025 18:00;Eka Rahmawati;Manokwari;Jaket Bomber;468.000;2;0;936.000;0;936.000;24.000;1.610.000;COD;Completed;FashionHub;3;XL;Nylon;Pria
23/07/2025 18:00;Eka Rahmawati;Manokwari;Celana Chino;335.000;1;0;335.000;0;335.000;24.000;1.610.000;COD;Completed;FashionHub;3;XL;Katun Twill;Pria
23/07/2025 18:00;Eka Rahmawati;Manokwari;Kemeja Formal;315.000;1;0;315.000;0;315.000;24.000;1.610.000;COD;Completed;FashionHub;3;L;Twill;Pria
10/10/2025 09:11;Lestari Puspita;Samarinda;Gamis;308.000;2;10;616.000;61.600;554.400;17.000;704.600;Kartu Kredit;Completed;StyleMart;5;XXL;Satin;Wanita
10/10/2025 09:11;Lestari Puspita;Samarinda;Kaos Pendek;148.000;1;10;148.000;14.800;133.200;17.000;704.600;Kartu Kredit;Completed;StyleMart;5;L;Jersey;Pria
13/04/2025 15:10;Tono Ananda;Manado;Hijab;104.000;4;0;416.000;0;416.000;22.000;1.247.000;Transfer Bank;Completed;FashionKita;3;L;Ceruty;Wanita
13/04/2025 15:10;Tono Ananda;Manado;Dress Formal;809.000;1;0;809.000;0;809.000;22.000;1.247.000;Transfer Bank;Completed;FashionKita;3;L;Satin;Wanita
25/05/2025 20:05;Qori Utami;Banda Aceh;Jaket Bomber;313.000;2;0;626.000;0;626.000;24.000;1.622.000;Transfer Bank;Cancelled;Toko Fashion App;1;XL;Polyester;Pria
25/05/2025 20:05;Qori Utami;Banda Aceh;Celana Chino;191.000;2;0;382.000;0;382.000;24.000;1.622.000;Transfer Bank;Cancelled;Toko Fashion App;1;S;Twill;Pria
25/05/2025 20:05;Qori Utami;Banda Aceh;Kemeja Casual;295.000;2;0;590.000;0;590.000;24.000;1.622.000;Transfer Bank;Cancelled;Toko Fashion App;1;L;Linen;Pria
29/09/2025 12:15;Bella Utami;Wamena;Rok Midi;371.000;3;0;1.113.000;0;1.113.000;24.000;1.708.000;Kartu Kredit;Completed;StyleMart;3;L;Katun;Wanita
29/09/2025 12:15;Bella Utami;Wamena;Dress Formal;385.000;1;0;385.000;0;385.000;24.000;1.708.000;Kartu Kredit;Completed;StyleMart;3;XXL;Silk Blend;Wanita
29/09/2025 12:15;Bella Utami;Wamena;Kemeja Casual;186.000;1;0;186.000;0;186.000;24.000;1.708.000;Kartu Kredit;Completed;StyleMart;3;XL;Chambray;Pria
09/12/2025 18:14;Dewi Pradipta;Bengkulu;Legging;209.000;2;0;418.000;0;418.000;24.000;1.872.000;Kartu Kredit;Returned;StyleMart;1;L;Polyester;Wanita
09/12/2025 18:14;Dewi Pradipta;Bengkulu;Kaos Polo;160.000;2;0;320.000;0;320.000;24.000;1.872.000;Kartu Kredit;Returned;StyleMart;1;XXL;Katun Pique;Pria
09/12/2025 18:14;Dewi Pradipta;Bengkulu;Jaket Denim;555.000;2;0;1.110.000;0;1.110.000;24.000;1.872.000;Kartu Kredit;Returned;StyleMart;1;L;Denim;Pria
05/06/2025 20:51;Zahra Rahmawati;Manado;Dress Casual;402.000;2;0;804.000;0;804.000;22.000;1.202.000;Kartu Kredit;Completed;Toko Fashion App;3;XL;Viscose;Wanita
05/06/2025 20:51;Zahra Rahmawati;Manado;Kaos Pendek;94.000;4;0;376.000;0;376.000;22.000;1.202.000;Kartu Kredit;Completed;Toko Fashion App;3;S;Jersey;Pria
30/05/2025 19:07;Indra Rahmawati;Pangkalpinang;Celana Chino;226.000;2;0;452.000;0;452.000;27.000;1.724.000;e-Wallet;Completed;OutfitNow;2;M;Katun;Pria
30/05/2025 19:07;Indra Rahmawati;Pangkalpinang;Jaket Bomber;481.000;1;0;481.000;0;481.000;27.000;1.724.000;e-Wallet;Completed;OutfitNow;2;XXL;Scuba;Pria
30/05/2025 19:07;Indra Rahmawati;Pangkalpinang;Celana Jeans;580.000;1;0;580.000;0;580.000;27.000;1.724.000;e-Wallet;Completed;OutfitNow;2;L;Stretch Denim;Pria
30/05/2025 19:07;Indra Rahmawati;Pangkalpinang;Kaos Pendek;92.000;2;0;184.000;0;184.000;27.000;1.724.000;e-Wallet;Completed;OutfitNow;2;L;Cotton Combed;Pria
10/11/2025 11:19;Dina Kusuma;Wamena;Kaos Pendek;95.000;4;0;380.000;0;380.000;24.000;1.664.000;Kartu Kredit;Completed;FashionKita;4;L;Katun;Pria
10/11/2025 11:19;Dina Kusuma;Wamena;Hoodie;372.000;2;0;744.000;0;744.000;24.000;1.664.000;Kartu Kredit;Completed;FashionKita;4;L;Fleece;Pria
10/11/2025 11:19;Dina Kusuma;Wamena;Hijab;129.000;4;0;516.000;0;516.000;24.000;1.664.000;Kartu Kredit;Completed;FashionKita;4;XXL;Polyester;Wanita
26/02/2025 12:52;Fajar Puspita;Sorong;Hijab;43.000;2;0;86.000;0;86.000;17.000;273.000;Transfer Bank;Completed;StyleMart;2;M;Voal;Wanita
26/02/2025 12:52;Fajar Puspita;Sorong;Kaos Panjang;170.000;1;0;170.000;0;170.000;17.000;273.000;Transfer Bank;Completed;StyleMart;2;L;Katun;Pria
10/06/2025 20:25;Indra Halim;Sorong;Kemeja Formal;211.000;1;0;211.000;0;211.000;27.000;1.350.000;Kartu Kredit;Returned;FashionHub;4;XL;Linen;Pria
10/06/2025 20:25;Indra Halim;Sorong;Kaos Panjang;104.000;3;0;312.000;0;312.000;27.000;1.350.000;Kartu Kredit;Returned;FashionHub;4;S;Jersey;Pria
10/06/2025 20:25;Indra Halim;Sorong;Kaos Pendek;144.000;4;0;576.000;0;576.000;27.000;1.350.000;Kartu Kredit;Returned;FashionHub;4;XL;Jersey;Pria
10/06/2025 20:25;Indra Halim;Sorong;Cardigan;224.000;1;0;224.000;0;224.000;27.000;1.350.000;Kartu Kredit;Returned;FashionHub;4;L;Acrylic;Wanita
16/01/2025 21:10;Citra Maulana;Wamena;Legging;178.000;3;0;534.000;0;534.000;17.000;804.000;Kartu Kredit;Returned;StyleMart;3;XXL;Spandex;Wanita
16/01/2025 21:10;Citra Maulana;Wamena;Kemeja Formal;253.000;1;0;253.000;0;253.000;17.000;804.000;Kartu Kredit;Returned;StyleMart;3;XL;Linen;Pria
20/06/2025 13:09;Aulia Ananda;Surabaya;Celana Chino;273.000;1;0;273.000;0;273.000;20.000;933.000;Transfer Bank;Completed;FashionHub;1;XXL;Katun Twill;Pria
20/06/2025 13:09;Aulia Ananda;Surabaya;Cardigan;410.000;1;0;410.000;0;410.000;20.000;933.000;Transfer Bank;Completed;FashionHub;1;L;Acrylic;Wanita
20/06/2025 13:09;Aulia Ananda;Surabaya;Kaos Pendek;115.000;2;0;230.000;0;230.000;20.000;933.000;Transfer Bank;Completed;FashionHub;1;L;Cotton Combed;Pria
23/08/2025 14:52;Wahyu Fauziah;Wamena;Kaos Pendek;130.000;1;0;130.000;0;130.000;27.000;1.789.000;e-Wallet;Completed;StyleMart;3;L;Cotton Combed;Pria
23/08/2025 14:52;Wahyu Fauziah;Wamena;Jaket Denim;425.000;2;0;850.000;0;850.000;27.000;1.789.000;e-Wallet;Completed;StyleMart;3;L;Denim;Pria
23/08/2025 14:52;Wahyu Fauziah;Wamena;Gamis;329.000;1;0;329.000;0;329.000;27.000;1.789.000;e-Wallet;Completed;StyleMart;3;XXL;Sutra;Wanita
23/08/2025 14:52;Wahyu Fauziah;Wamena;Kaos Polo;151.000;3;0;453.000;0;453.000;27.000;1.789.000;e-Wallet;Completed;StyleMart;3;XL;Katun Pique;Pria
17/04/2025 16:20;Umar Setiawan;Jakarta;Jaket Denim;544.000;1;0;544.000;0;544.000;22.000;1.208.000;e-Wallet;Pending;Toko Fashion App;2;XL;Cotton;Pria
17/04/2025 16:20;Umar Setiawan;Jakarta;Kemeja Casual;321.000;2;0;642.000;0;642.000;22.000;1.208.000;e-Wallet;Pending;Toko Fashion App;2;XL;Katun;Pria
04/10/2025 11:29;Citra Syahputra;Palembang;Celana Chino;263.000;1;0;263.000;0;263.000;24.000;1.039.000;Transfer Bank;Completed;FashionKita;5;L;Katun;Pria
04/10/2025 11:29;Citra Syahputra;Palembang;Dress Formal;323.000;1;0;323.000;0;323.000;24.000;1.039.000;Transfer Bank;Completed;FashionKita;5;S;Satin;Wanita
04/10/2025 11:29;Citra Syahputra;Palembang;Sweater;429.000;1;0;429.000;0;429.000;24.000;1.039.000;Transfer Bank;Completed;FashionKita;5;L;Knitted;Pria
03/10/2025 17:59;Clara Iskandar;Tanjungpinang;Dress Casual;299.000;2;0;598.000;0;598.000;24.000;1.393.000;Transfer Bank;Completed;Toko Fashion App;5;L;Viscose;Wanita
03/10/2025 17:59;Clara Iskandar;Tanjungpinang;Hijab;47.000;3;0;141.000;0;141.000;24.000;1.393.000;Transfer Bank;Completed;Toko Fashion App;5;XL;Ceruty;Wanita
03/10/2025 17:59;Clara Iskandar;Tanjungpinang;Kemeja Casual;210.000;3;0;630.000;0;630.000;24.000;1.393.000;Transfer Bank;Completed;Toko Fashion App;5;S;Linen;Pria
09/08/2025 16:53;Rizky Ramadhani;Mataram;Dress Formal;380.000;1;0;380.000;0;380.000;17.000;943.000;e-Wallet;Completed;StyleMart;4;L;Satin;Wanita
09/08/2025 16:53;Rizky Ramadhani;Mataram;Hoodie;273.000;2;0;546.000;0;546.000;17.000;943.000;e-Wallet;Completed;StyleMart;4;XXL;Fleece;Pria
15/05/2025 09:27;Erna Pradipta;Banjarbaru;Kaos Pendek;110.000;2;0;220.000;0;220.000;27.000;1.971.000;Kartu Kredit;Completed;FashionHub;3;M;Jersey;Pria
15/05/2025 09:27;Erna Pradipta;Banjarbaru;Sweater;360.000;2;0;720.000;0;720.000;27.000;1.971.000;Kartu Kredit;Completed;FashionHub;3;XL;Acrylic;Pria
15/05/2025 09:27;Erna Pradipta;Banjarbaru;Jaket Bomber;380.000;2;0;760.000;0;760.000;27.000;1.971.000;Kartu Kredit;Completed;FashionHub;3;XL;Scuba;Pria
15/05/2025 09:27;Erna Pradipta;Banjarbaru;Hijab;61.000;4;0;244.000;0;244.000;27.000;1.971.000;Kartu Kredit;Completed;FashionHub;3;XL;Ceruty;Wanita
12/10/2025 17:28;Aulia Kusuma;Surabaya;Dress Formal;893.000;1;0;893.000;0;893.000;27.000;2.060.000;Transfer Bank;Pending;Toko Fashion App;2;XL;Silk Blend;Wanita
12/10/2025 17:28;Aulia Kusuma;Surabaya;Cardigan;193.000;1;0;193.000;0;193.000;27.000;2.060.000;Transfer Bank;Pending;Toko Fashion App;2;M;Wool;Wanita
12/10/2025 17:28;Aulia Kusuma;Surabaya;Kaos Polo;141.000;3;0;423.000;0;423.000;27.000;2.060.000;Transfer Bank;Pending;Toko Fashion App;2;M;Katun Pique;Pria
12/10/2025 17:28;Aulia Kusuma;Surabaya;Kaos Pendek;131.000;4;0;524.000;0;524.000;27.000;2.060.000;Transfer Bank;Pending;Toko Fashion App;2;M;Katun;Pria
16/03/2025 21:03;Rizky Puspita;Merauke;Kemeja Formal;231.000;2;0;462.000;0;462.000;24.000;2.250.000;Transfer Bank;Pending;Toko Fashion App;1;L;Katun Oxford;Pria
16/03/2025 21:03;Rizky Puspita;Merauke;Jaket Denim;493.000;2;0;986.000;0;986.000;24.000;2.250.000;Transfer Bank;Pending;Toko Fashion App;1;L;Denim;Pria
16/03/2025 21:03;Rizky Puspita;Merauke;Dress Casual;389.000;2;0;778.000;0;778.000;24.000;2.250.000;Transfer Bank;Pending;Toko Fashion App;1;M;Katun;Wanita
18/10/2025 15:21;Andi Setiawan;Samarinda;Dress Casual;408.000;2;0;816.000;0;816.000;24.000;2.362.000;COD;Completed;Toko Fashion App;1;XL;Viscose;Wanita
18/10/2025 15:21;Andi Setiawan;Samarinda;Gamis;563.000;2;0;1.126.000;0;1.126.000;24.000;2.362.000;COD;Completed;Toko Fashion App;1;L;Woolpeach;Wanita
18/10/2025 15:21;Andi Setiawan;Samarinda;Kaos Pendek;132.000;3;0;396.000;0;396.000;24.000;2.362.000;COD;Completed;Toko Fashion App;1;L;Jersey;Pria
09/05/2025 20:26;Galih Iskandar;Wamena;Kaos Panjang;105.000;2;0;210.000;0;210.000;24.000;1.970.000;Kartu Kredit;Returned;StyleMart;5;XXL;Katun;Pria
09/05/2025 20:26;Galih Iskandar;Wamena;Rok Midi;380.000;3;0;1.140.000;0;1.140.000;24.000;1.970.000;Kartu Kredit;Returned;StyleMart;5;L;Polyester;Wanita
09/05/2025 20:26;Galih Iskandar;Wamena;Hoodie;298.000;2;0;596.000;0;596.000;24.000;1.970.000;Kartu Kredit;Returned;StyleMart;5;S;Cotton Combed;Pria
02/02/2025 18:23;Kartika Fauziah;Jayapura;Kaos Pendek;83.000;1;10;83.000;8.300;74.700;22.000;720.400;COD;Completed;StyleMart;4;S;Jersey;Pria
02/02/2025 18:23;Kartika Fauziah;Jayapura;Legging;226.000;1;10;226.000;22.600;203.400;22.000;720.400;COD;Completed;StyleMart;4;L;Nylon;Wanita
02/02/2025 18:23;Kartika Fauziah;Jayapura;Celana Chino;205.000;1;10;205.000;20.500;184.500;22.000;720.400;COD;Completed;StyleMart;4;XL;Katun;Pria
02/02/2025 18:23;Kartika Fauziah;Jayapura;Jaket Denim;262.000;1;10;262.000;26.200;235.800;22.000;720.400;COD;Completed;StyleMart;4;S;Chambray;Pria
06/04/2025 15:57;Tono Hidayat;Medan;Jaket Denim;391.000;1;0;391.000;0;391.000;17.000;870.000;e-Wallet;Cancelled;StyleMart;1;M;Chambray;Pria
06/04/2025 15:57;Tono Hidayat;Medan;Kaos Panjang;154.000;3;0;462.000;0;462.000;17.000;870.000;e-Wallet;Cancelled;StyleMart;1;XL;Jersey;Pria
13/11/2025 15:18;Hana Wijaya;Pangkalpinang;Gamis;750.000;2;0;1.500.000;0;1.500.000;24.000;2.744.000;COD;Completed;FashionKita;5;XL;Sutra;Wanita
13/11/2025 15:18;Hana Wijaya;Pangkalpinang;Kaos Pendek;134.000;4;0;536.000;0;536.000;24.000;2.744.000;COD;Completed;FashionKita;5;M;Jersey;Pria
13/11/2025 15:18;Hana Wijaya;Pangkalpinang;Celana Chino;342.000;2;0;684.000;0;684.000;24.000;2.744.000;COD;Completed;FashionKita;5;L;Katun Twill;Pria
23/11/2025 10:36;Zahra Utami;Ambon;Celana Pendek;157.000;3;0;471.000;0;471.000;27.000;1.733.000;Kartu Kredit;Completed;FashionKita;1;S;Jersey;Pria
23/11/2025 10:36;Zahra Utami;Ambon;Hoodie;385.000;1;0;385.000;0;385.000;27.000;1.733.000;Kartu Kredit;Completed;FashionKita;1;S;Cotton Combed;Pria
23/11/2025 10:36;Zahra Utami;Ambon;Cardigan;291.000;2;0;582.000;0;582.000;27.000;1.733.000;Kartu Kredit;Completed;FashionKita;1;XL;Knitted;Wanita
23/11/2025 10:36;Zahra Utami;Ambon;Kemeja Formal;268.000;1;0;268.000;0;268.000;27.000;1.733.000;Kartu Kredit;Completed;FashionKita;1;XXL;Katun Oxford;Pria
13/03/2025 08:19;Clara Setiawan;Palangka Raya;Kaos Panjang;171.000;1;0;171.000;0;171.000;27.000;1.817.000;Kartu Kredit;Completed;OutfitNow;3;L;Cotton Combed;Pria
13/03/2025 08:19;Clara Setiawan;Palangka Raya;Blouse;287.000;3;0;861.000;0;861.000;27.000;1.817.000;Kartu Kredit;Completed;OutfitNow;3;XXL;Rayon;Wanita
13/03/2025 08:19;Clara Setiawan;Palangka Raya;Legging;210.000;1;0;210.000;0;210.000;27.000;1.817.000;Kartu Kredit;Completed;OutfitNow;3;L;Polyester;Wanita
13/03/2025 08:19;Clara Setiawan;Palangka Raya;Cardigan;274.000;2;0;548.000;0;548.000;27.000;1.817.000;Kartu Kredit;Completed;OutfitNow;3;XL;Wool;Wanita
22/10/2025 20:52;Yani Kusuma;Pangkalpinang;Kemeja Formal;295.000;1;0;295.000;0;295.000;20.000;731.000;Transfer Bank;Cancelled;Toko Fashion App;5;S;Linen;Pria
22/10/2025 20:52;Yani Kusuma;Pangkalpinang;Legging;129.000;2;0;258.000;0;258.000;20.000;731.000;Transfer Bank;Cancelled;Toko Fashion App;5;XL;Spandex;Wanita
22/10/2025 20:52;Yani Kusuma;Pangkalpinang;Kaos Pendek;79.000;2;0;158.000;0;158.000;20.000;731.000;Transfer Bank;Cancelled;Toko Fashion App;5;XL;Cotton Combed;Pria
08/07/2025 08:52;Clara Iskandar;Wamena;Legging;175.000;3;0;525.000;0;525.000;27.000;2.709.000;e-Wallet;Completed;OutfitNow;1;XL;Spandex;Wanita
08/07/2025 08:52;Clara Iskandar;Wamena;Blouse;320.000;3;0;960.000;0;960.000;27.000;2.709.000;e-Wallet;Completed;OutfitNow;1;M;Rayon;Wanita
08/07/2025 08:52;Clara Iskandar;Wamena;Cardigan;313.000;2;0;626.000;0;626.000;27.000;2.709.000;e-Wallet;Completed;OutfitNow;1;M;Knitted;Wanita
08/07/2025 08:52;Clara Iskandar;Wamena;Dress Formal;571.000;1;0;571.000;0;571.000;27.000;2.709.000;e-Wallet;Completed;OutfitNow;1;L;Satin;Wanita
06/07/2025 17:34;Aulia Fauziah;Semarang;Celana Jeans;430.000;1;0;430.000;0;430.000;27.000;1.941.000;Transfer Bank;Completed;FashionHub;1;XXL;Denim;Pria
06/07/2025 17:34;Aulia Fauziah;Semarang;Blouse;344.000;1;0;344.000;0;344.000;27.000;1.941.000;Transfer Bank;Completed;FashionHub;1;M;Viscose;Wanita
06/07/2025 17:34;Aulia Fauziah;Semarang;Gamis;249.000;2;0;498.000;0;498.000;27.000;1.941.000;Transfer Bank;Completed;FashionHub;1;XL;Sutra;Wanita
06/07/2025 17:34;Aulia Fauziah;Semarang;Dress Casual;321.000;2;0;642.000;0;642.000;27.000;1.941.000;Transfer Bank;Completed;FashionHub;1;L;Katun;Wanita
21/10/2025 15:14;Aulia Utami;Jakarta;Dress Formal;864.000;1;0;864.000;0;864.000;24.000;1.845.000;Transfer Bank;Completed;Toko Fashion App;2;XXL;Sutra;Wanita
21/10/2025 15:14;Aulia Utami;Jakarta;Kaos Polo;189.000;3;0;567.000;0;567.000;24.000;1.845.000;Transfer Bank;Completed;Toko Fashion App;2;S;Polyester;Pria
21/10/2025 15:14;Aulia Utami;Jakarta;Gamis;390.000;1;0;390.000;0;390.000;24.000;1.845.000;Transfer Bank;Completed;Toko Fashion App;2;XL;Satin;Wanita
23/11/2025 11:52;Vina Maulana;Semarang;Kaos Polo;233.000;3;0;699.000;0;699.000;24.000;1.499.000;COD;Completed;FashionHub;5;XXL;Polyester;Pria
23/11/2025 11:52;Vina Maulana;Semarang;Hoodie;239.000;2;0;478.000;0;478.000;24.000;1.499.000;COD;Completed;FashionHub;5;XL;Cotton Combed;Pria
23/11/2025 11:52;Vina Maulana;Semarang;Blouse;149.000;2;0;298.000;0;298.000;24.000;1.499.000;COD;Completed;FashionHub;5;L;Satin;Wanita
30/09/2025 11:18;Citra Hidayat;Mamuju;Celana Chino;336.000;1;0;336.000;0;336.000;17.000;755.000;COD;Completed;FashionKita;2;S;Katun Twill;Pria
30/09/2025 11:18;Citra Hidayat;Mamuju;Kaos Panjang;134.000;3;0;402.000;0;402.000;17.000;755.000;COD;Completed;FashionKita;2;XL;Jersey;Pria
22/11/2025 14:04;Budi Saputra;Semarang;Legging;227.000;3;0;681.000;0;681.000;27.000;2.587.000;Transfer Bank;Completed;FashionKita;5;S;Spandex;Wanita
22/11/2025 14:04;Budi Saputra;Semarang;Jaket Denim;481.000;1;0;481.000;0;481.000;27.000;2.587.000;Transfer Bank;Completed;FashionKita;5;L;Denim;Pria
22/11/2025 14:04;Budi Saputra;Semarang;Sweater;311.000;2;0;622.000;0;622.000;27.000;2.587.000;Transfer Bank;Completed;FashionKita;5;XXL;Wool;Pria
